"","RR.HR","DET.HR","NRLINE.HR","maxL.HR","L.HR","ENTR.HR","rENTR.HR","LAM.HR","TT.HR","RR.Resp","DET.Resp","NRLINE.Resp","maxL.Resp","L.Resp","ENTR.Resp","rENTR.Resp","LAM.Resp","TT.Resp","condition","group","type"
"1",0.0583674130046387,0.0877577885037297,1,2,2,0,NA,4.30013163668276,2.04166666666667,3.25176984498481,6.40149201783592,4798,4,2.03167986661109,0.141504065953424,0.128802551557998,8.43594239445222,2.03195191395128,"TurnTaking","G3","Shuffled"
"2",0.0706269896624693,0.383325347388596,4,2,2,0,NA,2.58744609487302,2.07692307692308,4.58191043457865,8.93307247281369,7267,4,2.04830053667263,0.195665326246907,0.178102255240673,10.1369517728113,2.0829942039709,"Synchronous","G3","Shuffled"
"3",0.0275143878991241,NA,0,0,0,NA,NA,0,0,3.49134881492392,7.01403540959545,3752,4,2.03784648187633,0.162103905483255,0.147553333560268,9.53307036051738,2.04889589905363,"Synchronous","G4","Shuffled"
"4",0.0339103267153454,NA,0,0,0,NA,NA,0,0,3.48845891343738,7.08730254431448,3463,4,2.03667340456252,0.158522943978788,0.144293801929862,8.88902287069416,2.01136880400182,"TurnTaking","G4","Shuffled"
"5",0.0287380403648002,NA,0,0,0,NA,NA,0,0,3.34509298784882,6.64298006001661,6122,4,2.03707905527807,0.15987320459389,0.145522898153495,9.97698806775833,2.05688593838573,"Conversation","G1","Shuffled"
"6",0.02899032,NA,0,0,0,NA,NA,0,0,3.401649,6.568678,6164,4,2.034393,0.1508371,0.1372978,8.67495,2.056756,"TurnTaking","G1","Shuffled"
"7",0.03035679,NA,0,0,0,NA,NA,0,0,3.970218,7.398963,8102,5,2.034806,0.1522135,0.1097988,10.68689,2.053821,"Synchronous","G1","Shuffled"
"8",0.9309906,1.226149,271,3,2.00369,0.02435525,0.03513719,9.436604,2.145277,4.698903,9.274961,11948,4,2.047121,0.1920513,0.1748126,15.73812,2.117932,"Synchronous","G5","Shuffled"
"9",0.4648121,0.8412483,93,2,2,0,NA,7.354138,2,3.345859,6.362402,5883,4,2.030767,0.1382211,0.1258142,8.155505,2.049518,"TurnTaking","G5","Shuffled"
"10",0.02732952,0.1538462,1,2,2,0,NA,0,NA,3.511909,6.95252,6718,4,2.039744,0.1686014,0.1534676,8.384324,2.058421,"Conversation","G5","Shuffled"
"11",0.02358748,NA,0,0,0,NA,NA,0,0,3.568661,6.912357,6783,4,2.040985,0.1726748,0.1571754,8.167107,2.044114,"TurnTaking","G6","Shuffled"
"12",0.003742042,NA,0,0,0,NA,NA,0,0,4.262066,8.448372,9884,4,2.044516,0.183837,0.1673356,12.09646,2.086687,"Conversation","G6","Shuffled"
"13",0.04955052,NA,0,0,0,NA,NA,0,0,3.142462,6.262758,5429,4,2.034445,0.1510038,0.1374496,8.488319,2.071112,"Synchronous","G6","Shuffled"
"14",0.02701418,NA,0,0,0,NA,NA,0,0,4.105673,8.060169,9088,5,2.043574,0.1808938,0.1304873,12.04642,2.072346,"Conversation","G7","Shuffled"
"15",0.04093121,NA,0,0,0,NA,NA,0,0,3.527857,6.850886,6653,4,2.038779,0.1654878,0.1506335,11.03748,2.050385,"Synchronous","G7","Shuffled"
"16",0.004751132,NA,0,0,0,NA,NA,0,0,2.634778,5.093732,3717,4,2.026365,0.1223973,0.1114109,9.764114,2.062571,"TurnTaking","G7","Shuffled"
"17",0.1216584,0.1728011,5,2,2,0,NA,2.039053,2,3.421819,6.707006,6326,6,2.036042,0.1546059,0.1407284,9.742863,2.065577,"TurnTaking","G8","Shuffled"
"18",0.2252793,0.3919373,21,2,2,0,NA,1.110489,2.051724,3.785868,7.711243,8040,4,2.037811,0.162044,0.1474988,10.54036,2.084031,"Synchronous","G8","Shuffled"
"19",0.08224084,0.2556237,5,2,2,0,NA,0.204499,2,3.843796,7.656685,8057,5,2.050019,0.2010574,0.1450323,11.13805,2.037222,"Conversation","G8","Shuffled"
"20",0.03933349,0.1068947,1,2,2,0,NA,0.6413683,2,4.082456,7.785644,8737,4,2.041662,0.1748069,0.1591161,11.10583,2.089424,"Synchronous","G9","Shuffled"
"21",0.02724543,NA,0,0,0,NA,NA,0,0,3.538174,6.962854,6781,4,2.038932,0.1657357,0.1508591,10.9212,2.060428,"Conversation","G9","Shuffled"
"22",0.02491191,0.3375527,2,2,2,0,NA,0.1687764,2,3.498207,6.780593,6535,4,2.037031,0.1597179,0.1453815,8.762002,2.043236,"TurnTaking","G9","Shuffled"
"23",0.388390442393745,87.4777448071217,3090,40,4.29320388349515,1.96164630169821,0.62562587158749,94.1707879986812,6.55693296602387,3.26695275743899,75.2621120610767,36299,20,3.17204330697815,1.47030893887145,0.499351132516146,85.5341595419249,3.73492978650531,"TurnTaking","G3","Original"
"24",0.160408208433208,80.7594936708861,1152,18,3.32291666666667,1.533173286851,0.566153938441384,89.2827004219409,6.00283687943262,4.65079252905628,87.2490879958376,32064,44,4.60226422155689,2.07865546113524,0.599773185099315,93.297582376,5.81825891375687,"Synchronous","G3","Original"
